Symbol,Exchange
US135087N75.BE,BER
EMBASSY-RR.NS,NSI
035188.TW,TAI
7DG.F,FRA
L97.MU,MUN
DPLML.XC,CXE
F43954.MI,MIL
IPG.F,FRA
516760.SS,SHH
US037411BA28.TI,TLO
EVTZF,PNK
9304.T,JPX
OTOEL.AT,ATH
WTY.HA,HAN
BA0545.TI,TLO
LUM-B185.TA,TLV
8T40.F,FRA
RMS.VI,VIE
SUUIF,PNK
SPPPOLY-ST.NS,NSI
CH57034734.DU,DUS
EAM.MU,MUN
KF1YH.NX,ENX
A383UF.HM,HAM
B43083.TI,TLO
AT0000A239K5.VI,VIE
BE0002827088.BR,BRU
AVLL3F.SA,SAO
NLB4WA.HA,HAN
I10422.MI,MIL
MTL.AX,ASX
DE000BLB9Q67.SG,STU
XS207764639.HM,HAM
13065.HK,HKG
8AC.DU,DUS
727079.TWO,TWO
RAILTEL.BO,BSE
IDJ.DU,DUS
AU3SG000238.DU,DUS
AMX.V,VAN
SPIEUVKL.CO,CPH
SAHAJ-SM.NS,NSI
CSNVY,PNK
AX,NYQ
049293.TW,TAI
167302.SZ,SHZ
F61797.MI,MIL
DE000LB13UW5.SG,STU
FR1400EA1.BE,BER
054997.TW,TAI
J4D.DU,DUS
EQTB.DU,DUS
I08394.MI,MIL
300046.SZ,SHZ
XS272271747.HA,HAN
RSH.XA,CXA
KG8RH.NX,ENX
NICE,NMS
AS3.SG,STU
044767.TW,TAI
INTRGLB.BO,BSE
57Z.SG,STU
M5S.DE,GER
INDIGO.NS,NSI
0412.HK,HKG
D1Y.BE,BER
MBAX-R.BK,SET
725117.TWO,TWO
S2K1.BE,BER
DE000LB4XNG7.SG,STU
BTTX,OEM
TRCS.L,LSE
9OR.F,FRA
NKE.DE,GER
053484.TW,TAI
6986.T,JPX
28884.HK,HKG
A3MQS6.HA,HAN
68747.HK,HKG
4GS.TI,TLO
HDALF,PNK
MVF.AX,ASX
VWS.CO,CPH
AM8.BE,BER
3005.SR,SAU
F40391.MI,MIL
3372.T,JPX
25549.HK,HKG
AT0000A3E1G2.VI,VIE
MKC0.BE,BER
001527.KS,KSC
F61639.MI,MIL
29490.HK,HKG
039467.TW,TAI
F48162.MI,MIL
04684P.TW,TAI
P04886.MI,MIL
727030.TWO,TWO
AT0000A37NF9.VI,VIE
2904.T,JPX
MAKEINDIA.NS,NSI
054879.TW,TAI
GETIBS.XC,CXE
EUA3KWCF.MU,MUN
BXE.SI,SES
ONC.L,LSE
9571-SABE.SR,SAU
4J2.F,FRA
49Q.SG,STU
XOMCL.SN,SGO
KGB3H.NX,ENX
CGG.TO,TOR
8841.T,JPX
PRICOLLTD.NS,NSI
245A.T,JPX
7S50.SG,STU
042176.TW,TAI
FI400050723.BE,BER
00499K.KS,KSC
M9X.F,FRA
P23VT1.MI,MIL
CS.TO,TOR
16E.F,FRA
PZ540.SW,EBS
FR1400KR4.DU,DUS
053907.TW,TAI
037467.TW,TAI
727735.TWO,TWO
HS2.HM,HAM
N3IA.HM,HAM
HCB0BN.BE,BER
6F1.MU,MUN
PKS.BA,BUE
DE000DB9VWQ0.SG,STU
52K6S.PA,PAR
1QC1.MU,MUN
5199.T,JPX
C07475.TI,TLO
FMC.V,VAN
B1C.MU,MUN
29634.HK,HKG
IU9.MU,MUN
65340.HK,HKG
F59234.MI,MIL
AT0000A3C1P5.VI,VIE
ABB.NS,NSI
ROJNA.BK,SET
BALUFORGE.NS,NSI
ECHA.MU,MUN
VICO.ST,STO
CMICABLES.BO,BSE
FR1400CHR.MU,MUN
MKRYF,OEM
CI3414.TI,TLO
AT0000A39DD1.VI,VIE
0B2.MU,MUN
XS231272313.HA,HAN
0KHZ.L,LSE
AAR028.DU,DUS
DE000LB5CX12.SG,STU
AT0000A3HEX3.VI,VIE
FR14007QT.DU,DUS
LS3.DU,DUS
GOOG,NMS
DE000BLB9PP8.SG,STU
GBBPSNBF7.DU,DUS
161133.SZ,SHZ
VRUS,OEM
DE000A289LU4.SG,STU
ECK.F,FRA
300237.SZ,SHZ
1BR1.MU,MUN
FR1400DCH.BE,BER
HYI.F,FRA
D1Y.MU,MUN
DYNDF,PNK
KTMS.BK,SET
DE000A14JZM9.SG,STU
AT0000A3GT78.VI,VIE
XS202217966.HM,HAM
CH1227937708.SG,STU
MPCKD.XD,DXE
1PM.BE,BER
BYCBF,PNK
AT0000A2PAP2.VI,VIE
MONDY,PNK
7214.T,JPX
000718.SZ,SHZ
ET32.DE,GER
UTMD,NMS
I10185.MI,MIL
0IFX.L,LSE
D9C.F,FRA
50730.HK,HKG
FR1400I14.DU,DUS
65K.F,FRA
03653P.TW,TAI
IFLEX.MC,MCE
9D5.F,FRA
8DA1.SG,STU
07X.MU,MUN
727687.TWO,TWO
ZYA.DE,GER
P1BAS1.MI,MIL
ND3.F,FRA
FR1400L9Q.DU,DUS
0178.HK,HKG
CLAV-TO-9.ST,STO
PACC11.SA,SAO
P20HT6.MI,MIL
9ZX.HM,HAM
82846.HK,HKG
INDHOTEL.NS,NSI
JNO.AX,ASX
9XJ.F,FRA
058450.KQ,KOE
ICUGS.IS,IST
LHL.F,FRA
0HAG.IL,IOB
511700.SS,SHH
28636.HK,HKG
68273.HK,HKG
1SS.BE,BER
FR1400DOV.MU,MUN
A1RQEE.DU,DUS
688343.SS,SHH
XS236088154.HM,HAM
381620.KQ,KOE
159898.SZ,SHZ
5576.KL,KLS
J9I.F,FRA
725276.TWO,TWO
HV2A0K.MU,MUN
IDI.MU,MUN
NWPP,PNK
057146.TW,TAI
BOA.AX,ASX
051340.TW,TAI
UEM.L,LSE
517900.SS,SHH
CVGU.F,FRA
BFIN.JK,JKT
8IG.DU,DUS
TSVT,NMS
BCMXY,PNK
5Y1.MU,MUN
9720.T,JPX
4WDAY.TI,TLO
A3MP61.HM,HAM
78Y.F,FRA
MRCOO.BA,BUE
050351.TW,TAI
NXGCF,OQX
CH1227937690.SG,STU
0022U.AS,AMS
RGRX,OEM
S09975.TI,TLO
PQOC,NGM
CTX.WA,WSE
ATB12229.DU,DUS
STXDIV.JO,JNB
50711.HK,HKG
TJXD.XD,DXE
FSV.TO,TOR
0517.HK,HKG
8SF.SG,STU
ASN.AX,ASX
64261.HK,HKG
METROBRAND.BO,BSE
SMA.BE,BER
031732.TW,TAI
OXUR.BR,BRU
F59139.MI,MIL
AK7.SG,STU
ZRO.CN,CNQ
9H6C.DU,DUS
SV94V.NX,ENX
GOKUL.NS,NSI
MGP1.MU,MUN
GOLDBEES.NS,NSI
4SB.BE,BER
EGS38351C010.CA,CAI
62V9S.PA,PAR
9DSSB.NX,ENX
GI8.F,FRA
INNOVANA.NS,NSI
P1YNU2.MI,MIL
ARES-PB,NYQ
RNWEY,PNK
727610.TWO,TWO
HEALTHY.NS,NSI
7763.TWO,TWO
AT0000A3ACX2.VI,VIE
BCE-PK.TO,TOR
1875.HK,HKG
CH0433761316.SG,STU
AX8.F,FRA
726255.TWO,TWO
0NMT.L,LSE
TH38V.NX,ENX
FR1400OM1.DU,DUS
COCO.L,LSE
TLX.VI,VIE
GSM.F,FRA
GBPR-B15.TA,TLV
FEX.AX,ASX
FR1400EFQ.MU,MUN
053092.TW,TAI
726137.TWO,TWO
DFGH.XA,CXA
BGV.XC,CXE
NZBNZDT403C.MU,MUN
KRY.V,VAN
67657.HK,HKG
AKRBPO.XD,DXE
300664.SZ,SHZ
BALMLAWRIE.NS,NSI
0JW2.L,LSE
DT3.BE,BER
F51935.MI,MIL
9YE.F,FRA
3U8.DU,DUS
159779.SZ,SHZ
1580.TWO,TWO
EDPR.LS,LIS
C7A.XA,CXA
DTCI-R.BK,SET
RLP148.HM,HAM
INP.WA,WSE
DE000LB5AJZ0.SG,STU
052729.TW,TAI
MUD.F,FRA
ACQ0.F,FRA
M46.BE,BER
056949.TW,TAI
0JCB.L,LSE
MFEC-R.BK,SET
I5R.F,FRA
BOGA.JK,JKT
900947.SS,SHH
NIB.VI,VIE
057174.TW,TAI
X67722.TI,TLO
FI400051144.DU,DUS
XS164653056.HM,HAM
MHGVY,PNK
C44.DU,DUS
CII,NYQ
KOBX.JK,JKT
720980.TWO,TWO
GBBQC82B8.BE,BER
0IVR.L,LSE
IHT,ASE
053127.TW,TAI
MHTX,OEM
DE000DB9VEW6.SG,STU
600381.SS,SHH
P22OW2.MI,MIL
AT0000A2YK27.VI,VIE
688336.SS,SHH
F52661.MI,MIL
002683.SZ,SHZ
KK3A.F,FRA
CDII11.SA,SAO
AHC-R.BK,SET
051910.TW,TAI
BAF.L,LSE
AJ5.BE,BER
ARK1.DE,GER
XS295838264.HA,HAN
AT0000A3E040.VI,VIE
DE000DM34HB6.SG,STU
722010.TWO,TWO
F55048.MI,MIL
BGLOBAL.NS,NSI
DE000LB44695.SG,STU
G8VSB.NX,ENX
AT0000A38UZ0.VI,VIE
DE000LB45XU5.SG,STU
BM0542.TI,TLO
0ILI.IL,IOB
1SXPD.XD,DXE
BB89.MU,MUN
MILDES.XD,DXE
XS290558247.HA,HAN
05185P.TW,TAI
QHI.BE,BER
KO0.MU,MUN
A30VJD.BE,BER
SVMFF,OQB
0IU0.SG,STU
LEGIF,PNK
723083.TWO,TWO
EUQ.SG,STU
HYTN.CN,CNQ
8089.TWO,TWO
FR1303003.DU,DUS
ASTERDM.NS,NSI
NLB4V5.HA,HAN
046535.TW,TAI
29332.HK,HKG
XS247868593.HA,HAN
82C.SG,STU
CSQ.F,FRA
MGEL.BO,BSE
1818.KL,KLS
KAJARIACER.NS,NSI
70948U.TWO,TWO
91E.F,FRA
7453.T,JPX
KG7XH.NX,ENX
AT0000A3DE86.VI,VIE
8AMA.F,FRA
MK-R.BK,SET
GYLD-A.CO,CPH
LUMI.ST,STO
SCDCF,OQB
AT0000A31LM2.VI,VIE
1247.HK,HKG
US191216DL1.BE,BER
9HRSB.NX,ENX
F52375.MI,MIL
XS246897930.HA,HAN
AT0000A37CR7.VI,VIE
B1CB.HM,HAM
M2A.BE,BER
9PS.F,FRA
BSA.DU,DUS
F42536.MI,MIL
CA45167FA6.BE,BER
047461.TW,TAI
92S.BE,BER
Z7SSB.NX,ENX
601919.SS,SHH
WSRC,OEM
69043.HK,HKG
041NSETEST.NS,NSI
9SU0.F,FRA
XS235444402.HA,HAN
DAT.WA,WSE
BA5930.TI,TLO
140201.TWO,TWO
7UA.SG,STU
AT0000A3GDL2.VI,VIE
FJZ.DU,DUS
F60571.MI,MIL
BSHY39.SA,SAO
DGR.MU,MUN
ARRJ.HA,HAN
4050.SR,SAU
AU000000HRN5.SG,STU
7BP.SG,STU
9Q58S.NX,ENX
F55551.MI,MIL
0B2.HA,HAN
AT0000A3GFX2.VI,VIE
AT0000A3F0R0.VI,VIE
A30VUG.BE,BER
CH133111348.DU,DUS
KSC.XA,CXA
725545.TWO,TWO
HASH-USD.AS,AMS
RMD,NYQ
PR4.MU,MUN
1GT.F,FRA
UG6.HM,HAM
056972.TW,TAI
ENETF,PNK
9OU.MU,MUN
ATUL.NS,NSI
8CXSB.NX,ENX
050508.TW,TAI
05619P.TW,TAI
84I.F,FRA
SUVIDHAA.BO,BSE
IKF.HA,HAN
8313.SR,SAU
FGAA11.SA,SAO
CRGH,PNK
159622.SZ,SHZ
50S.SG,STU
PLP.NZ,NZE
057093.TW,TAI
CH119400034.MU,MUN
F59778.MI,MIL
AT0000A3EMW5.VI,VIE
A14JZ3.DU,DUS
ALR.WA,WSE
EMU.AX,ASX
PMINDI.CO,CPH
FR14007VF.BE,BER
TD47V.NX,ENX
CJW1.BE,BER
2BZ.DU,DUS
BTIP39.SA,SAO
8315.HK,HKG
SW40V.NX,ENX
TGHI,OEM
XITO,PNK
038010.KQ,KOE
ACBC.MU,MUN
AT0000A3FHF7.VI,VIE
037150.TW,TAI
F54957.MI,MIL
78Q.F,FRA
26587.HK,HKG
BZ1.F,FRA
CTS.VN,VSE
AT0A2QQB.DU,DUS
AT0000A38K47.VI,VIE
2R7.F,FRA
I08406.TI,TLO
F52512.MI,MIL
7DO0.DU,DUS
8L8C.BE,BER
9845.T,JPX
XS245974779.HM,HAM
F49058.MI,MIL
XS193838162.HM,HAM
AVNBF,PNK
EGS370O1C013.CA,CAI
032135.TW,TAI
04478P.TW,TAI
AFGC,NYQ
049286.TW,TAI
EUA1Z99N.DU,DUS
P1U860.MI,MIL
KG4JH.NX,ENX
CVU.SG,STU
FR1400E1P.MU,MUN
043527.TW,TAI
FCCO,NCM
DSNG.JK,JKT
0OH.F,FRA
6387.T,JPX
US17327CAM5.BE,BER
048484.TW,TAI
A383BH.DU,DUS
F50081.MI,MIL
4015.SR,SAU
5156.KL,KLS
RRAUF,PNK
F55495.MI,MIL
LNH.DU,DUS
0960.HK,HKG
FR14004KP.HM,HAM
P248A0.MI,MIL
0JSC.L,LSE
I10582.MI,MIL
TBET,OEM
A3H2Y5.BE,BER
0VW.F,FRA
AT0000A3B277.VI,VIE
48D.MU,MUN
BHB,ASE
FR1400U3P.DU,DUS
MFL.JO,JNB
ARLSF,PNK
NUMD,OQB
03793P.TW,TAI
XS234584588.HM,HAM
MCT.L,LSE
AILLP,PNK
CH130591688.DU,DUS
8PR1.BE,BER
HSI.MU,MUN
048470.TW,TAI
DMGI.V,VAN
FR14009UQ.BE,BER
5137.T,JPX
UPAB.BE,BER
A3MQPJ.MU,MUN
APNHY,PNK
EGY,NYQ
DE000LB48YA9.SG,STU
TH13V.NX,ENX
AT0000A32NC7.VI,VIE
FTHY,NYQ
056102.TW,TAI
2T9A.F,FRA
HGNC.BE,BER
MASFIN.BO,BSE
KEL-SM.NS,NSI
CRNO-B.ST,STO
0EH.F,FRA
FTD.MU,MUN
XS219428839.HM,HAM
056163.TW,TAI
3974.T,JPX
X18366.TI,TLO
N7RSB.NX,ENX
HEH.HA,HAN
8886.T,JPX
AT0000A2KQ43.SG,STU
TKMO,PNK
0ML1.IL,IOB
044180.KQ,KOE
0FY.F,FRA
TF493.SA,SAO
05624P.TW,TAI
LAXMIDENTL.BO,BSE
3284.T,JPX
J4B.F,FRA
28889.HK,HKG
TOSK.JK,JKT
5445.T,JPX
049196.TW,TAI
XS2270397016.TI,TLO
123700.KS,KSC
EUS.BE,BER
300068.SZ,SHZ
AT0000A3GKC6.VI,VIE
81E.MU,MUN
049389.TW,TAI
R585.VI,VIE
045913.TW,TAI
HM5.MU,MUN
DUEB.F,FRA
ADXE.XD,DXE
0NRE.IL,IOB
SUJALA.BO,BSE
AT0000A3DDT2.VI,VIE
LF2.F,FRA
CDNTF,PNK
AT0000A3HF99.VI,VIE
PUM.HM,HAM
CXRF.MU,MUN
PANW.VI,VIE
3S7.SG,STU
I90.F,FRA
I09974.MI,MIL
DE000LB39QR8.SG,STU
STUD.V,VAN
3K8.F,FRA
DE000DB9VED6.SG,STU
27W.SG,STU
3143.T,JPX
688110.SS,SHH
04258P.TW,TAI
F42981.MI,MIL
I76738.TI,TLO
1T9.DU,DUS
ORISSAMINE.BO,BSE
QH.BK,SET
D7G.MU,MUN
BS82.HA,HAN
3MI.F,FRA
0QSV.L,LSE
TGSO.OL,OSL
053225.TW,TAI
49937.HK,HKG
IMPAL.BO,BSE
F00SPX.MI,MIL
TL0D.XC,CXE
NPAKF,PNK
TOPCF,PNK
KAO.BE,BER
PAH3.F,FRA
O1U1.F,FRA
9TO.BE,BER
DESPC.IS,IST
SBX.OL,OSL
SPISOKLA.CO,CPH
AT0000A3CLB5.VI,VIE
N7R.F,FRA
TU5A.BE,BER
ISRG.NE,NEO
HSM.L,LSE
BN7.F,FRA
A9W1.BE,BER
079940.KQ,KOE
BM8528.TI,TLO
GBQ.DU,DUS
1273.HK,HKG
F52695.MI,MIL
0RIC.IL,IOB
0IKK.L,LSE
XS228219517.HM,HAM
GFA.NX,ENX
052042.TW,TAI
ASG.F,FRA
LVXFF,OQB
W8QSB.NX,ENX
9IP1.F,FRA
BBU,NYQ
29W.SG,STU
IVGM.XD,DXE
BF8A.HM,HAM
AT0000A2TAK5.VI,VIE
HMICF,PNK
A02.SG,STU
F54955.MI,MIL
724914.TWO,TWO
M8V.BE,BER
4JMA.MU,MUN
729417.TWO,TWO
DH8.BE,BER
BE036069.HM,HAM
C58.SG,STU
A289NR.BE,BER
28748.HK,HKG
BORORENEW.NS,NSI
F47726.MI,MIL
041476.TW,TAI
SMX.XA,CXA
BIDB11.SA,SAO
ACO-X.TO,TOR
ESW.MU,MUN
4C85S.NX,ENX
BXIDKAIA.CO,CPH
ES0012J1.MU,MUN
AT12.DU,DUS
6594.T,JPX
055090.TW,TAI
XS267811105.HM,HAM
GLV.MU,MUN
DGL.AX,ASX
F3I.SG,STU
040362.TW,TAI
085810.KQ,KOE
050211.TW,TAI
50447.HK,HKG
051457.TW,TAI
1RH.F,FRA
FMW.F,FRA
FW48.VI,VIE
LQ6937.TI,TLO
ZEU.XA,CXA
CHDGF,PNK
ADV.MI,MIL
05676P.TW,TAI
CSBTF,PNK
2531.T,JPX
AFR0.MU,MUN
FDK.DU,DUS
8057.HK,HKG
002482.SZ,SHZ
ZXLU-F.TO,TOR
NDIGSEKL1.CO,CPH
TZRS-B5.TA,TLV
CHG.BE,BER
300056.SZ,SHZ
PRGC.MU,MUN
CRBD,NYQ
3ZD.F,FRA
5WP0.F,FRA
QGMD.QA,DOH
NAMI,NCM
MPJ-R.BK,SET
ELUXY,PNK
AT0000A38KT4.VI,VIE
HRGG,PNK
4EV0.F,FRA
ORESS.XD,DXE
051600.KS,KSC
ULTA,NMS
HUHTAMAKI.BO,BSE
PPL-PC.TO,TOR
FYGLD.DE,GER
S30P.XD,DXE
TRTN-PD,NYQ
6MA.SG,STU
HF7N.F,FRA
RNBDENIMS.BO,BSE
EGS3A0A1C016-EGP.CA,CAI
054936.TW,TAI
N1N.BE,BER
VWLA.HM,HAM
0EU.DU,DUS
INDIACEM.NS,NSI
BIG-P4.TA,TLV
AT0000A3AZF0.VI,VIE
DE000A3E45L8.SG,STU
2WTSB.NX,ENX
F59318.MI,MIL
SRCAF,OQB
729491.TWO,TWO
RAP1VH.XD,DXE
GEPIL.BO,BSE
300862.SZ,SHZ
XS205296859.HM,HAM
033913.TW,TAI
056303.TW,TAI
HHU.F,FRA
002474.SZ,SHZ
C5SJ.DU,DUS
MANINDS.BO,BSE
5185.T,JPX
813.F,FRA
CZ100623.DU,DUS
SP83V.NX,ENX
JIOFIN.NS,NSI
TCAPL.XC,CXE
28F0.DU,DUS
DGR.DE,GER
99Q.F,FRA
301116.SZ,SHZ
001229.SZ,SHZ
3E7.BE,BER
CH53689327.DU,DUS
16T.F,FRA
002900.KS,KSC
7I1.DU,DUS
F60040.MI,MIL
BWMY,OEM
CJ8A.BE,BER
W1EL34.SA,SAO
FOMC.SG,STU
053218.TW,TAI
053098.TW,TAI
DWJ.BE,BER
039614.TW,TAI
WEIOAI.CO,CPH
HCC,NYQ
726743.TWO,TWO
US609207AY1.BE,BER
NEOEN.PA,PAR
AT0A324F.DU,DUS
A3E5WT.DU,DUS
2H51.MU,MUN
728160.TWO,TWO
DTC.CN,CNQ
A2BA.DU,DUS
200029.SZ,SHZ
PTR.AX,ASX
481890.KQ,KOE
JY0.DE,GER
F59163.MI,MIL
0H9.F,FRA
HDFCSILVER.BO,BSE
0RIM.L,LSE
GROREIT.BK,SET
NLB4W8.HA,HAN
KGHI,OEM
AT0000A37JA8.VI,VIE
HS0.F,FRA
0V1L.IL,IOB
123690.KS,KSC
032123.TW,TAI
047690.TW,TAI
MOTRL.XC,CXE
